MP_Literacy,MP_Constituency
Balaghat,BALAGHAT
Betul,BETUL
Bhind,BHIND
Bhopal,BHOPAL
Chhindwara,CHHINDWARA
Damoh,DAMOH
Dewas,DEWAS
Dhar,DHAR
West Nimar,KHARGONE
Guna,GUNA
Gwalior,GWALIOR
 Panna,KHAJURAHO
East Nimar,KHANDWA
Hoshangabad,HOSHANGABAD
Indore,INDORE
Jabalpur,JABALPUR
Mandla,MANDLA
Mandsaur,MANDSOUR
Morena,MORENA
Rajgarh,RAJGARH
Ratlam,RATLAM
Rewa,REWA
Sagar,SAGAR
Satna,SATNA
Shahdol,SHAHDOL
Sidhi,SIDHI
Tikamgarh,TIKAMGARH
Ujjain,UJJAIN
Vidisha,VIDISHA
