MP_Religion_District,MP_Constituency
Morena,MORENA
Bhind,BHIND
Gwalior,GWALIOR
Tikamgarh,TIKAMGARH
Sagar,SAGAR
Damoh,DAMOH
Satna,SATNA
Rewa,REWA
Mandsaur,MANDSOUR
Ratlam,RATLAM
Ujjain,UJJAIN
Panna,KHAJURAHO
Dewas,DEWAS
Dhar,DHAR
Indore,INDORE
Khargone (West Nimar),KHARGONE
Rajgarh,RAJGARH
Vidisha,VIDISHA
Bhopal,BHOPAL
Betul,BETUL
Hoshangabad,HOSHANGABAD
Jabalpur,JABALPUR
Mandla,MANDLA
Chhindwara,CHHINDWARA
Balaghat,BALAGHAT
Guna,GUNA
Shahdol,SHAHDOL
Sidhi,SIDHI
Khandwa (East Nimar),KHANDWA
