,PC.name,State.name,Candidate.Name,Candidate.Sex,Candidate.Category,Candidate.Age,Party.Abbreviation,Total.Votes.Polled,Position,Total.voters,Total_Electors,TOT_CONTESTANT,POLL.PERCENTAGE,Total.Persons,Total.HinduPersons,Total.Muslim.Persons,Sex.Ratio..per.1000.,Average.Literacy,Incumbency,Education,Total.Assets,Women,Winner,Criminal.Case,SeriousCrime
340,Ghaziabad,Uttar Pradesh,PT. AMAR PAL SHARMA,M,GEN,37,BSP,180285,3,829842,1831688,16,45.30476806,4681645,3414427,1186776,881,78.07,0,12th Pass,69342885,0,0,0,0
341,Ghaziabad,Uttar Pradesh,IQBAL,M,GEN,50,NLHP,3818,5,829842,1831688,16,45.30476806,4681645,3414427,1186776,881,78.07,0,Literate,6899177,0,0,1,0
342,Ghaziabad,Uttar Pradesh,AZIJ KHAN,M,GEN,43,IJP,2286,7,829842,1831688,16,45.30476806,4681645,3414427,1186776,881,78.07,0,10th Pass,1680000,0,0,0,0
343,Ghaziabad,Uttar Pradesh,K.Z. BUKHARI,M,GEN,63,NELU,1279,9,829842,1831688,16,45.30476806,4681645,3414427,1186776,881,78.07,0,Graduate,1390000,0,0,0,0
344,Ghaziabad,Uttar Pradesh,ANWAR AHMED,M,GEN,61,NBNP,910,10,829842,1831688,16,45.30476806,4681645,3414427,1186776,881,78.07,0,Not Given,320673000,0,0,1,1
345,Ghaziabad,Uttar Pradesh,SANJAY SHARMA,M,GEN,30,ABHM,784,11,829842,1831688,16,45.30476806,4681645,3414427,1186776,881,78.07,0,Not Given,308011,0,0,5,1
346,Ghaziabad,Uttar Pradesh,HARI SHANKAR SHARMA,M,GEN,63,BPD,541,16,829842,1831688,16,45.30476806,4681645,3414427,1186776,881,78.07,0,Doctorate,16964367,0,0,0,0
347,Ghazipur,Uttar Pradesh,RADHEY MOHAN SINGH,M,GEN,43,SP,379233,1,770448,1527723,15,50.43113182,3620268,3233790,368153,952,71.78,1,Graduate,22062609,0,1,1,1
348,Ghazipur,Uttar Pradesh,AFZAL ANSARI,M,GEN,55,BSP,309924,2,770448,1527723,15,50.43113182,3620268,3233790,368153,952,71.78,0,Post Graduate,45844836,0,0,3,1
349,Ghazipur,Uttar Pradesh,PRABHUNATH,M,GEN,48,BJP,21679,3,770448,1527723,15,50.43113182,3620268,3233790,368153,952,71.78,0,10th Pass,1347938,0,0,1,0
350,Ghazipur,Uttar Pradesh,SHYAM NARAYAN,M,GEN,54,RASD,9895,5,770448,1527723,15,50.43113182,3620268,3233790,368153,952,71.78,0,Post Graduate,1282500,0,0,0,0
351,Ghazipur,Uttar Pradesh,SURAJ RAM BAGI,M,GEN,52,CPI,8039,6,770448,1527723,15,50.43113182,3620268,3233790,368153,952,71.78,0,Graduate,1018723,0,0,0,0
352,Ghazipur,Uttar Pradesh,SURENDRA,M,GEN,43,JPS,6999,8,770448,1527723,15,50.43113182,3620268,3233790,368153,952,71.78,0,Literate,450000,0,0,0,0
353,Ghazipur,Uttar Pradesh,ISHWARI PRASAD KUSHAWAHA,M,GEN,48,CPI(ML)(L),5852,9,770448,1527723,15,50.43113182,3620268,3233790,368153,952,71.78,0,Graduate,933000,0,0,1,0
354,Ghazipur,Uttar Pradesh,DINESH,M,GEN,42,RSMD,1186,12,770448,1527723,15,50.43113182,3620268,3233790,368153,952,71.78,0,8th Pass,1212000,0,0,0,0
358,Ghosi,Uttar Pradesh,DARA SINGH CHAUHAN,M,GEN,50,BSP,220695,1,765865,1693231,16,45.23098148,4613913,3878626,718692,1019,70.93,0,10th Pass,2044115,0,1,2,1
359,Ghosi,Uttar Pradesh,ARSHAD JAMAL ANSARI,M,GEN,43,SP,159750,2,765865,1693231,16,45.23098148,4613913,3878626,718692,1019,70.93,1,Post Graduate,2465633,0,0,0,0
360,Ghosi,Uttar Pradesh,SUDHA RAI,F,GEN,54,INC,150242,3,765865,1693231,16,45.23098148,4613913,3878626,718692,1019,70.93,0,Doctorate,10366720,0,0,0,0
361,Ghosi,Uttar Pradesh,RAM IQBAL,M,GEN,49,BJP,95340,4,765865,1693231,16,45.23098148,4613913,3878626,718692,1019,70.93,0,Post Graduate,4028821,0,0,3,1
362,Ghosi,Uttar Pradesh,RAMESH ALIAS RAJU SINGH,M,GEN,41,SBSP,58577,5,765865,1693231,16,45.23098148,4613913,3878626,718692,1019,70.93,0,12th Pass,3500000,0,0,0,0
363,Ghosi,Uttar Pradesh,ATUL KUMAR SINGH ANJAN,M,GEN,55,CPI,21947,6,765865,1693231,16,45.23098148,4613913,3878626,718692,1019,70.93,0,Post Graduate,4026760,0,0,0,0
364,Ghosi,Uttar Pradesh,KAILASH YADAV,M,GEN,46,PECP,15877,7,765865,1693231,16,45.23098148,4613913,3878626,718692,1019,70.93,0,10th Pass,2373122,0,0,2,0
365,Ghosi,Uttar Pradesh,AKHILESH,M,GEN,43,JPS,14945,8,765865,1693231,16,45.23098148,4613913,3878626,718692,1019,70.93,0,12th Pass,231000,0,0,0,0
366,Ghosi,Uttar Pradesh,HARISH CHANDRA,M,SC,62,RJPK,5152,10,765865,1693231,16,45.23098148,4613913,3878626,718692,1019,70.93,0,Post Graduate,13400386,0,0,0,0
367,Ghosi,Uttar Pradesh,RAM BADAN KAUL,M,SC,60,BSA,2051,14,765865,1693231,16,45.23098148,4613913,3878626,718692,1019,70.93,0,Graduate,1000000,0,0,1,1
368,Ghosi,Uttar Pradesh,LALJI RAJBHAR,M,GEN,44,BSD,1648,15,765865,1693231,16,45.23098148,4613913,3878626,718692,1019,70.93,0,12th Pass,1580000,0,0,0,0
369,Gonda,Uttar Pradesh,BENI PRASAD VERMA,M,GEN,68,INC,155675,1,606079,1341455,25,45.18071795,3433919,2739076,678615,921,58.71,0,Graduate Professional,20183574,0,1,0,0
370,Gonda,Uttar Pradesh,KIRTI VARDHAN SINGH  (RAJA BHAIYA),M,GEN,43,BSP,132000,2,606079,1341455,25,45.18071795,3433919,2739076,678615,921,58.71,0,Post Graduate,20957984,0,0,0,0
371,Gonda,Uttar Pradesh,RAM PRATAP SINGH,M,GEN,58,BJP,90498,3,606079,1341455,25,45.18071795,3433919,2739076,678615,921,58.71,0,Graduate,18691075,0,0,0,0
372,Gonda,Uttar Pradesh,VINOD KUMAR SINGH ALIAS PANDIT SINGH,M,GEN,42,SP,88558,4,606079,1341455,25,45.18071795,3433919,2739076,678615,921,58.71,1,12th Pass,6057015,0,0,0,0
373,Gonda,Uttar Pradesh,ASHIQ ALI,M,GEN,46,PECP,73235,5,606079,1341455,25,45.18071795,3433919,2739076,678615,921,58.71,0,8th Pass,6250000,0,0,0,0
374,Gonda,Uttar Pradesh,DR ACHYUTA NAND DUBEY,M,GEN,64,NCP,6278,7,606079,1341455,25,45.18071795,3433919,2739076,678615,921,58.71,0,Doctorate,259472,0,0,0,0
375,Gonda,Uttar Pradesh,PREM KUMAR,M,GEN,26,SBSP,5213,9,606079,1341455,25,45.18071795,3433919,2739076,678615,921,58.71,0,Graduate,150000,0,0,0,0
376,Gonda,Uttar Pradesh,OM PRAKASH SINGH,M,GEN,54,JPS,4256,10,606079,1341455,25,45.18071795,3433919,2739076,678615,921,58.71,0,10th Pass,8890000,0,0,0,0
377,Gonda,Uttar Pradesh,RAJENDRA PRASAD,M,GEN,55,ANC,4192,11,606079,1341455,25,45.18071795,3433919,2739076,678615,921,58.71,0,Not Given,1335000,0,0,0,0
378,Gonda,Uttar Pradesh,RAM LOCHAN,M,GEN,46,ABHM,2485,16,606079,1341455,25,45.18071795,3433919,2739076,678615,921,58.71,0,Literate,64000,0,0,0,0
380,Gonda,Uttar Pradesh,VIDYA SAGAR,M,GEN,36,AD,2161,19,606079,1341455,25,45.18071795,3433919,2739076,678615,921,58.71,0,Graduate,641565,0,0,0,0
381,Gonda,Uttar Pradesh,RAM KEWAL,M,GEN,41,VAJP,1550,23,606079,1341455,25,45.18071795,3433919,2739076,678615,921,58.71,0,Literate,12700,0,0,0,0
382,Gorakhpur,Uttar Pradesh,ADITYANATH,M,GEN,36,BJP,403156,1,750975,1696474,26,44.26681458,4440895,4009037,403847,950,70.83,1,Graduate,2182212,0,1,2,1
384,Gorakhpur,Uttar Pradesh,MANOJ TIWARI MRIDUL,M,GEN,39,SP,83059,3,750975,1696474,26,44.26681458,4440895,4009037,403847,950,70.83,0,Graduate Professional,50158691,0,0,0,0
385,Gorakhpur,Uttar Pradesh,LALCHAND NISHAD,M,GEN,67,INC,30262,4,750975,1696474,26,44.26681458,4440895,4009037,403847,950,70.83,0,Post Graduate,17574000,0,0,0,0
388,Gorakhpur,Uttar Pradesh,SRINATH,M,GEN,29,SBSP,2261,11,750975,1696474,26,44.26681458,4440895,4009037,403847,950,70.83,0,12th Pass,70000,0,0,0,0
389,Gorakhpur,Uttar Pradesh,RAJESH SAHANI,M,GEN,44,CPI(ML)(L),1454,15,750975,1696474,26,44.26681458,4440895,4009037,403847,950,70.83,0,Post Graduate,0,0,0,0,0
390,Gorakhpur,Uttar Pradesh,RAJBAHADUR,M,GEN,28,IJP,1186,19,750975,1696474,26,44.26681458,4440895,4009037,403847,950,70.83,0,Post Graduate,145000,0,0,0,0
391,Gorakhpur,Uttar Pradesh,JOKHAN PRASAD,M,GEN,46,EKSP,1066,20,750975,1696474,26,44.26681458,4440895,4009037,403847,950,70.83,0,Post Graduate,1001806,0,0,0,0
392,Gorakhpur,Uttar Pradesh,RAJMANI,M,GEN,46,BEP,1054,21,750975,1696474,26,44.26681458,4440895,4009037,403847,950,70.83,0,Literate,20000,0,0,0,0
393,Hamirpur,Uttar Pradesh,VIJAY BAHADUR SINGH,M,GEN,65,BSP,199143,1,725511,1498840,16,48.40483307,1104285,1010014,91269,861,68.77,0,Graduate Professional,42956873,0,1,0,0
394,Hamirpur,Uttar Pradesh,SIDDHA GOPAL SAHU,M,GEN,43,INC,173641,2,725511,1498840,16,48.40483307,1104285,1010014,91269,861,68.77,0,Post Graduate,7115000,0,0,0,0
396,Hamirpur,Uttar Pradesh,"PREETAM SINGH LODHI ""KISAAN""",M,GEN,39,BJP,138692,4,725511,1498840,16,48.40483307,1104285,1010014,91269,861,68.77,0,Graduate,24150103,0,1,0,0
397,Hamirpur,Uttar Pradesh,HAKEEM KHAN,M,GEN,56,BAP,7593,6,725511,1498840,16,48.40483307,1104285,1010014,91269,861,68.77,0,8th Pass,1448000,0,0,0,0
399,Hamirpur,Uttar Pradesh,AMIT KUMAR,M,GEN,28,AD,2964,11,725511,1498840,16,48.40483307,1104285,1010014,91269,861,68.77,0,12th Pass,3500,0,0,0,0
400,Hamirpur,Uttar Pradesh,SHIVPRASAD PRAJAPATI,M,GEN,33,IJP,2345,13,725511,1498840,16,48.40483307,1104285,1010014,91269,861,68.77,0,Graduate,327000,0,0,0,0
402,Hamirpur,Uttar Pradesh,GIRDHARILAL,M,SC,70,NELU,1804,15,725511,1498840,16,48.40483307,1104285,1010014,91269,861,68.77,0,Not Given,110000,0,0,0,0
403,Hamirpur,Uttar Pradesh,KAPIL KUMAR,M,GEN,30,NLHP,1670,16,725511,1498840,16,48.40483307,1104285,1010014,91269,861,68.77,0,Post Graduate,450000,0,0,0,0
404,Hardoi,Uttar Pradesh,USHA VERMA,F,SC,43,SP,294030,1,574637,1416949,11,40.55452949,4092845,3508131,556219,868,64.57,1,Post Graduate,10111699,1,1,0,0
405,Hardoi,Uttar Pradesh,RAM KUMAR KURIL,M,SC,47,BSP,201095,2,574637,1416949,11,40.55452949,4092845,3508131,556219,868,64.57,0,12th Pass,2044273,0,0,4,1
406,Hardoi,Uttar Pradesh,PURNIMA VERMA,F,SC,52,BJP,54115,3,574637,1416949,11,40.55452949,4092845,3508131,556219,868,64.57,0,Post Graduate,22001868,1,0,0,0
407,Hardoi,Uttar Pradesh,BALAKRAM,M,SC,48,RJPK,3247,5,574637,1416949,11,40.55452949,4092845,3508131,556219,868,64.57,0,8th Pass,1415000,0,0,0,0
408,Hardoi,Uttar Pradesh,HARIBAKHSH,M,SC,50,NBNP,1764,8,574637,1416949,11,40.55452949,4092845,3508131,556219,868,64.57,0,Literate,754000,0,0,0,0
409,Hardoi,Uttar Pradesh,BHAIYA LAL ALIAS CHAMAN BABU,M,SC,35,RSMD,1216,9,574637,1416949,11,40.55452949,4092845,3508131,556219,868,64.57,0,10th Pass,10000,0,0,0,0
410,Hardoi,Uttar Pradesh,SHANTISWAROOP,M,SC,52,RPI,924,11,574637,1416949,11,40.55452949,4092845,3508131,556219,868,64.57,0,10th Pass,590000,0,0,0,0
411,Hathras,Uttar Pradesh,SARIKA SINGH,F,SC,29,RLD,247927,1,648468,1437725,10,45.10375767,3673889,2904140,729283,882,67.52,0,Post Graduate,825272,1,1,0,0
412,Hathras,Uttar Pradesh,RAJENDRA KUMAR,M,SC,43,BSP,211075,2,648468,1437725,10,45.10375767,3673889,2904140,729283,882,67.52,0,Graduate,2525000,0,0,1,1
413,Hathras,Uttar Pradesh,ANAR SINGH,M,SC,48,SP,115187,3,648468,1437725,10,45.10375767,3673889,2904140,729283,882,67.52,0,10th Pass,60240500,0,0,0,0
414,Hathras,Uttar Pradesh,PRADEEP CHANDEL,M,SC,31,INC,57515,4,648468,1437725,10,45.10375767,3673889,2904140,729283,882,67.52,0,Not Given,1660000,0,0,0,0
415,Hathras,Uttar Pradesh,JAIPRAKASH,M,SC,59,RTKP,2828,6,648468,1437725,10,45.10375767,3673889,2904140,729283,882,67.52,0,8th Pass,1735000,0,0,0,0
416,Hathras,Uttar Pradesh,SURESH BABU,M,SC,35,BSKPB,2822,7,648468,1437725,10,45.10375767,3673889,2904140,729283,882,67.52,0,Graduate,338800,0,0,0,0
417,Hathras,Uttar Pradesh,PREMLATA,F,SC,35,RPI(A),1901,8,648468,1437725,10,45.10375767,3673889,2904140,729283,882,67.52,0,Literate,843500,1,0,0,0
419,Jalaun,Uttar Pradesh,GHANSYAM ANURAGI,M,SC,35,SP,283023,1,797678,1684988,16,47.34027779,1689974,1509708,171581,865,73.75,0,Post Graduate,6350833,0,1,2,1
420,Jalaun,Uttar Pradesh,TILAK CHANDRA AHIRWAR,M,SC,40,BSP,271614,2,797678,1684988,16,47.34027779,1689974,1509708,171581,865,73.75,0,Graduate,4443000,0,0,0,0
421,Jalaun,Uttar Pradesh,BHANU PRATAP SINGH VERMA,M,SC,50,BJP,131259,3,797678,1684988,16,47.34027779,1689974,1509708,171581,865,73.75,1,Post Graduate,1491809,0,0,1,0
422,Jalaun,Uttar Pradesh,DR. BABU RAMADHIN AHIRWAR,M,SC,58,INC,77459,4,797678,1684988,16,47.34027779,1689974,1509708,171581,865,73.75,0,Doctorate,899586,0,0,0,0
423,Jalaun,Uttar Pradesh,NATHURAM VERMA LOHIA,M,SC,63,NCP,4751,6,797678,1684988,16,47.34027779,1689974,1509708,171581,865,73.75,0,8th Pass,3285000,0,0,0,0
424,Jalaun,Uttar Pradesh,PRATAP SINGH KATHARIYA,M,SC,39,NELU,2803,8,797678,1684988,16,47.34027779,1689974,1509708,171581,865,73.75,0,10th Pass,81500,0,0,0,0
425,Jalaun,Uttar Pradesh,KASHIRAM,M,SC,35,CPI(ML)(L),2753,9,797678,1684988,16,47.34027779,1689974,1509708,171581,865,73.75,0,12th Pass,73020,0,0,0,0
426,Jalaun,Uttar Pradesh,PRABHA VERMA,F,SC,25,AD,2533,10,797678,1684988,16,47.34027779,1689974,1509708,171581,865,73.75,0,Doctorate,1180000,1,0,0,0
427,Jalaun,Uttar Pradesh,BHAGGOOLAL VALMIKI,M,SC,50,RSMD,2377,11,797678,1684988,16,47.34027779,1689974,1509708,171581,865,73.75,0,12th Pass,254323,0,0,0,0
428,Jalaun,Uttar Pradesh,HUKUM,M,SC,52,JPS,2086,12,797678,1684988,16,47.34027779,1689974,1509708,171581,865,73.75,0,Not Given,799267,0,0,0,0
429,Jalaun,Uttar Pradesh,SANJAY KUMAR,M,SC,28,RAJUP,954,15,797678,1684988,16,47.34027779,1689974,1509708,171581,865,73.75,0,10th Pass,11000,0,0,0,0
430,Jalaun,Uttar Pradesh,DASHRATH SINGH AHIRWAR,M,SC,27,RDMP,918,16,797678,1684988,16,47.34027779,1689974,1509708,171581,865,73.75,0,10th Pass,130000,0,0,0,0
431,Jaunpur,Uttar Pradesh,DHANANJAY SINGH,M,GEN,33,BSP,302618,1,764069,1662127,16,45.96935132,4494204,3981502,483750,1024,71.55,0,Post Graduate,4362656,0,1,1,1
432,Jaunpur,Uttar Pradesh,PARAS NATH YADAVA,M,GEN,54,SP,222267,2,764069,1662127,16,45.96935132,4494204,3981502,483750,1024,71.55,1,12th Pass,13874968,0,0,0,0
433,Jaunpur,Uttar Pradesh,SEEMA,F,GEN,37,BJP,143377,3,764069,1662127,16,45.96935132,4494204,3981502,483750,1024,71.55,0,Post Graduate,2838000,1,0,0,0
434,Jaunpur,Uttar Pradesh,RAJESH S/O RAMESHCHANDRA,M,GEN,30,AD,6931,6,764069,1662127,16,45.96935132,4494204,3981502,483750,1024,71.55,0,Graduate,297000,0,0,0,0
435,Jaunpur,Uttar Pradesh,RAJESH S/O RAMYAGYA,M,GEN,32,EKSP,6872,7,764069,1662127,16,45.96935132,4494204,3981502,483750,1024,71.55,0,10th Pass,1655238,0,0,0,0
436,Jaunpur,Uttar Pradesh,ACHHEYLAL NISHAD,M,GEN,61,NELU,3219,9,764069,1662127,16,45.96935132,4494204,3981502,483750,1024,71.55,0,Not Given,1995000,0,0,0,0
438,Jaunpur,Uttar Pradesh,RAVI SHANKAR,M,GEN,38,LJP,2172,11,764069,1662127,16,45.96935132,4494204,3981502,483750,1024,71.55,0,Graduate,0,0,0,0,0
440,Jaunpur,Uttar Pradesh,BAHADUR SONKAR,M,SC,48,IJP,1461,13,764069,1662127,16,45.96935132,4494204,3981502,483750,1024,71.55,0,Literate,150000,0,0,0,0
441,Jaunpur,Uttar Pradesh,RAMCHANDAR,M,GEN,52,RASD,1218,14,764069,1662127,16,45.96935132,4494204,3981502,483750,1024,71.55,0,8th Pass,1067695,0,0,0,0
442,Jaunpur,Uttar Pradesh,GEETA SINGH,F,GEN,46,RDMP,1173,15,764069,1662127,16,45.96935132,4494204,3981502,483750,1024,71.55,0,Graduate Professional,1600000,1,0,0,0
443,Jaunpur,Uttar Pradesh,GIRAJA SHANKAR YADAVA,M,GEN,49,GGP,1048,16,764069,1662127,16,45.96935132,4494204,3981502,483750,1024,71.55,0,Others,1141655,0,0,0,0
444,Jhansi,Uttar Pradesh,PRADEEP KUMAR JAIN (ADITYA),M,GEN,47,INC,252712,1,861859,1562082,18,55.17373608,1998603,1823930,147842,890,75.05,0,Post Graduate,3343719,0,1,2,0
445,Jhansi,Uttar Pradesh,RAMESH KUMAR SHARMA,M,GEN,56,BSP,205042,2,861859,1562082,18,55.17373608,1998603,1823930,147842,890,75.05,0,Not Given,69793000,0,0,0,0
446,Jhansi,Uttar Pradesh,CHANDRPAL SINGH YADAV,M,GEN,50,SP,132076,3,861859,1562082,18,55.17373608,1998603,1823930,147842,890,75.05,1,Not Given,12091752,0,0,4,1
447,Jhansi,Uttar Pradesh,SUJAN SINGH BUNDELA,M,GEN,63,RSMD,105298,4,861859,1562082,18,55.17373608,1998603,1823930,147842,890,75.05,0,Not Given,115770215,0,0,0,0
448,Jhansi,Uttar Pradesh,RAVINDRA SHUKLA,M,GEN,50,BJP,79724,5,861859,1562082,18,55.17373608,1998603,1823930,147842,890,75.05,0,Not Given,9064094,0,0,0,0
449,Jhansi,Uttar Pradesh,DEEPMALA KUSHWAHA,F,GEN,28,RTKP,17399,6,861859,1562082,18,55.17373608,1998603,1823930,147842,890,75.05,0,Not Given,206206,1,0,1,0
450,Jhansi,Uttar Pradesh,RAMDAS,M,GEN,50,BJTP,6872,10,861859,1562082,18,55.17373608,1998603,1823930,147842,890,75.05,0,Not Given,49766,0,0,0,0
451,Jhansi,Uttar Pradesh,BALAK DAS,M,GEN,40,AD,4173,16,861859,1562082,18,55.17373608,1998603,1823930,147842,890,75.05,0,Not Given,437000,0,0,0,0
452,Jhansi,Uttar Pradesh,MANMOHAN GUPTA,M,GEN,62,IJP,3021,17,861859,1562082,18,55.17373608,1998603,1823930,147842,890,75.05,0,Not Given,3528456,0,0,0,0
453,Jhansi,Uttar Pradesh,BABU LAL NANGAL,M,GEN,65,LSVP,2507,18,861859,1562082,18,55.17373608,1998603,1823930,147842,890,75.05,0,Not Given,2116000,0,0,0,0
454,Kairana,Uttar Pradesh,TABASSUM BEGUM,F,GEN,39,BSP,283259,1,725758,1282551,15,56.58706749,4143512,2382914,1711453,889,69.12,0,10th Pass,11667328,1,1,0,0
455,Kairana,Uttar Pradesh,HUKUM SINGH,M,GEN,71,BJP,260796,2,725758,1282551,15,56.58706749,4143512,2382914,1711453,889,69.12,0,Graduate Professional,13488895,0,0,1,0
456,Kairana,Uttar Pradesh,SHAJAN MASOOD,M,GEN,36,SP,124802,3,725758,1282551,15,56.58706749,4143512,2382914,1711453,889,69.12,0,Graduate,7119617,0,0,3,1
457,Kairana,Uttar Pradesh,SURENDRA KUMAR,M,GEN,45,INC,37795,4,725758,1282551,15,56.58706749,4143512,2382914,1711453,889,69.12,0,10th Pass,5825591,0,0,0,0
458,Kairana,Uttar Pradesh,KARAN SINGH SAINI,M,GEN,40,JSP,1758,8,725758,1282551,15,56.58706749,4143512,2382914,1711453,889,69.12,0,Graduate,2000,0,0,0,0
459,Kairana,Uttar Pradesh,RAJ BAHADUR,M,SC,26,IJP,814,11,725758,1282551,15,56.58706749,4143512,2382914,1711453,889,69.12,0,Graduate,103000,0,0,0,0
460,Kairana,Uttar Pradesh,PRIYA KUMAR,M,GEN,37,ABHM,787,12,725758,1282551,15,56.58706749,4143512,2382914,1711453,889,69.12,0,12th Pass,644000,0,0,0,0
461,Kairana,Uttar Pradesh,KUNWAR PAL,M,GEN,50,RDMP,604,13,725758,1282551,15,56.58706749,4143512,2382914,1711453,889,69.12,0,12th Pass,3701000,0,0,0,0
463,Kairana,Uttar Pradesh,SHAFIK,M,GEN,52,UNLP,457,15,725758,1282551,15,56.58706749,4143512,2382914,1711453,889,69.12,0,Literate,85000,0,0,0,0
464,Kaiserganj,Uttar Pradesh,BRIJBHUSHAN SHARAN SINGH,M,GEN,52,SP,196063,1,565659,1376267,23,41.10096369,3487731,2291892,1169330,892,49.36,1,Graduate Professional,53537885,0,1,2,1
465,Kaiserganj,Uttar Pradesh,SURENDRA NATH AWASTHI,M,GEN,53,BSP,123864,2,565659,1376267,23,41.10096369,3487731,2291892,1169330,892,49.36,0,Post Graduate,16540782,0,0,0,0
466,Kaiserganj,Uttar Pradesh,DR LALTA PRASAD MISHRA ALIAS DR L P MISHRA,M,GEN,59,BJP,120561,3,565659,1376267,23,41.10096369,3487731,2291892,1169330,892,49.36,0,Doctorate,35903033,0,0,0,0
467,Kaiserganj,Uttar Pradesh,MOHD ALEEM,M,GEN,46,INC,73140,4,565659,1376267,23,41.10096369,3487731,2291892,1169330,892,49.36,0,12th Pass,8957811,0,0,0,0
468,Kaiserganj,Uttar Pradesh,RAMENDER DEV PATHAK,M,GEN,60,PECP,6272,6,565659,1376267,23,41.10096369,3487731,2291892,1169330,892,49.36,0,Graduate Professional,5661821,0,0,0,0
469,Kaiserganj,Uttar Pradesh,ZAMEER AHMAD,M,GEN,53,ANC,3870,7,565659,1376267,23,41.10096369,3487731,2291892,1169330,892,49.36,0,10th Pass,107000,0,0,0,0
470,Kaiserganj,Uttar Pradesh,DAYA RAM,M,GEN,41,PDFO,2736,12,565659,1376267,23,41.10096369,3487731,2291892,1169330,892,49.36,0,Not Given,653534,0,0,1,0
471,Kaiserganj,Uttar Pradesh,HAFEEZ,M,GEN,47,AD,1907,16,565659,1376267,23,41.10096369,3487731,2291892,1169330,892,49.36,0,8th Pass,1880000,0,0,0,0
473,Kaiserganj,Uttar Pradesh,RAM PRAKSH,M,SC,39,RPI(A),1736,18,565659,1376267,23,41.10096369,3487731,2291892,1169330,892,49.36,0,10th Pass,417000,0,0,0,0
474,Kannauj,Uttar Pradesh,AKHILESH YADAV,M,GEN,35,SP,337751,1,741957,1504276,16,49.32319601,1656616,1375788,273967,879,72.7,1,Graduate Professional,48582202,0,1,0,0
476,Kannauj,Uttar Pradesh,SUBRAT PATHAK,M,GEN,29,BJP,150872,3,741957,1504276,16,49.32319601,1656616,1375788,273967,879,72.7,0,Graduate,10172404,0,0,0,0
477,Kannauj,Uttar Pradesh,BALRAM,M,GEN,29,BSP(K),6650,4,741957,1504276,16,49.32319601,1656616,1375788,273967,879,72.7,0,Not Given,621000,0,0,2,1
478,Kannauj,Uttar Pradesh,RAM KARAN KASHYAP,M,GEN,37,VAJP,2706,8,741957,1504276,16,49.32319601,1656616,1375788,273967,879,72.7,0,Graduate,1498600,0,0,0,0
481,Kannauj,Uttar Pradesh,RAM SWAROOP,M,GEN,70,JPS,1408,11,741957,1504276,16,49.32319601,1656616,1375788,273967,879,72.7,0,Graduate,2120187,0,0,0,0
482,Kannauj,Uttar Pradesh,NARAYAN KUMAR,M,GEN,39,RDMP,1189,13,741957,1504276,16,49.32319601,1656616,1375788,273967,879,72.7,0,Graduate,313196,0,0,0,0
483,Kannauj,Uttar Pradesh,RAM BABU TRIVEDI,M,GEN,62,BPD,790,15,741957,1504276,16,49.32319601,1656616,1375788,273967,879,72.7,0,Post Graduate,1559370,0,0,0,0
484,Kanpur,Uttar Pradesh,SRI PRAKASH JAISWAL,M,GEN,64,INC,214988,1,512921,1390055,18,36.89933132,1796184,1612968,176327,862,79.65,1,12th Pass,30767980,0,1,0,0
485,Kanpur,Uttar Pradesh,SATISH MAHANA,M,GEN,48,BJP,196082,2,512921,1390055,18,36.89933132,1796184,1612968,176327,862,79.65,0,Graduate,18717462,0,0,0,0
486,Kanpur,Uttar Pradesh,SUKHDA MISHRA,F,GEN,67,BSP,48374,3,512921,1390055,18,36.89933132,1796184,1612968,176327,862,79.65,0,Graduate,46179000,1,0,0,0
487,Kanpur,Uttar Pradesh,SURENDRA MOHAN AGRAWAL,M,GEN,65,SP,34919,4,512921,1390055,18,36.89933132,1796184,1612968,176327,862,79.65,0,12th Pass,16479277,0,0,4,0
488,Kanpur,Uttar Pradesh,OMENDRA BHARAT,M,GEN,29,BPD,3237,6,512921,1390055,18,36.89933132,1796184,1612968,176327,862,79.65,0,Post Graduate,35457,0,0,0,0
489,Kanpur,Uttar Pradesh,JAGDISH PRASAD,M,GEN,48,ABHM,503,14,512921,1390055,18,36.89933132,1796184,1612968,176327,862,79.65,0,Not Given,284000,0,0,0,0
490,Kanpur,Uttar Pradesh,GUFRAN  AHMED,M,GEN,49,RWSP,450,15,512921,1390055,18,36.89933132,1796184,1612968,176327,862,79.65,0,12th Pass,700000,0,0,0,0
491,Kanpur,Uttar Pradesh,MOTI LAL SHARMA,M,GEN,59,IJP,357,18,512921,1390055,18,36.89933132,1796184,1612968,176327,862,79.65,0,8th Pass,19650,0,0,0,0
492,Kaushambi,Uttar Pradesh,SHAILENDRA KUMAR,M,SC,51,SP,246501,1,551601,1391312,10,39.64610382,1599596,1372381,220423,908,61.28,0,Graduate,20800327,0,1,0,0
493,Kaushambi,Uttar Pradesh,GIRISH CHANDRA PASI,M,SC,39,BSP,190712,2,551601,1391312,10,39.64610382,1599596,1372381,220423,908,61.28,0,Graduate,2407001,0,0,9,1
494,Kaushambi,Uttar Pradesh,RAM NIHOR RAKESH,M,SC,64,INC,40765,3,551601,1391312,10,39.64610382,1599596,1372381,220423,908,61.28,0,Not Given,329586,0,0,0,0
495,Kaushambi,Uttar Pradesh,GAUTAM CHAUDHARY,M,SC,44,BJP,30475,4,551601,1391312,10,39.64610382,1599596,1372381,220423,908,61.28,0,Graduate Professional,3518000,0,0,0,0
