,PC.name,State.name,Candidate.Name,Candidate.Sex,Candidate.Category,Candidate.Age,Party.Abbreviation,Total.Votes.Polled,Position,Total.voters,Total_Electors,TOT_CONTESTANT,POLL.PERCENTAGE,Total.Persons,Total.HinduPersons,Total.Muslim.Persons,Sex.Ratio..per.1000.,Average.Literacy,Incumbency,Education,Total.Assets,Women,Winner,Criminal.Case,SeriousCrime
34,Aligarh,Uttar Pradesh,ALPANA GAUTAM,F,GEN,45,BSK,496,20,692645,1345351,23,51.48433383,3673889,2904140,729283,882,67.52,0,Post Graduate,6808000,1,0,2,1
35,Aligarh,Uttar Pradesh,MOHAMMAD YUSUF KHAN,M,GEN,26,MC,484,21,692645,1345351,23,51.48433383,3673889,2904140,729283,882,67.52,0,Graduate,27000,0,0,0,0
36,Aligarh,Uttar Pradesh,DEVI PRASHAD,M,GEN,72,MADP,387,23,692645,1345351,23,51.48433383,3673889,2904140,729283,882,67.52,0,10th Pass,512500,0,0,0,0
37,Allahabad,Uttar Pradesh,KUNWAR REWATI RAMAN SINGH ALIAS MANI JI,M,GEN,65,SP,209431,1,550217,1267492,31,43.40989923,5954391,5102041,796756,901,72.32,1,Graduate Professional,18640164,0,1,0,0
38,Allahabad,Uttar Pradesh,ASHOK KUMAR BAJPAI,M,GEN,58,BSP,174511,2,550217,1267492,31,43.40989923,5954391,5102041,796756,901,72.32,0,Graduate Professional,149578657,0,0,0,0
39,Allahabad,Uttar Pradesh,YOGESH SHUKLA,M,GEN,39,BJP,60997,3,550217,1267492,31,43.40989923,5954391,5102041,796756,901,72.32,0,12th Pass,2426964,0,0,0,0
40,Allahabad,Uttar Pradesh,SHYAM KRISHNA PANDEY,M,GEN,65,INC,37028,4,550217,1267492,31,43.40989923,5954391,5102041,796756,901,72.32,0,Graduate Professional,6158929,0,0,0,0
41,Allahabad,Uttar Pradesh,BIHARI LAL SHARMA,M,GEN,54,AD,22086,5,550217,1267492,31,43.40989923,5954391,5102041,796756,901,72.32,0,12th Pass,2220000,0,0,0,0
42,Allahabad,Uttar Pradesh,OM PRAKASH,M,GEN,41,RMSP,2253,11,550217,1267492,31,43.40989923,5954391,5102041,796756,901,72.32,0,12th Pass,100000,0,0,0,0
43,Allahabad,Uttar Pradesh,SARFUDDIN,M,GEN,32,NELU,2062,12,550217,1267492,31,43.40989923,5954391,5102041,796756,901,72.32,0,Graduate,150000,0,0,0,0
44,Allahabad,Uttar Pradesh,RAM PARIKHAN SINGH,M,GEN,59,JPS,1366,15,550217,1267492,31,43.40989923,5954391,5102041,796756,901,72.32,0,5th Pass,145000,0,0,0,0
45,Allahabad,Uttar Pradesh,VIJAY SHANKAR,M,SC,45,BSA,1353,16,550217,1267492,31,43.40989923,5954391,5102041,796756,901,72.32,0,8th Pass,4000,0,0,0,0
