,PC.name,State.name,Candidate.Name,Candidate.Sex,Candidate.Category,Candidate.Age,Party.Abbreviation,Total.Votes.Polled,Position,Total.voters,Total_Electors,TOT_CONTESTANT,POLL.PERCENTAGE,Total.Persons,Total.HinduPersons,Total.Muslim.Persons,Sex Ratio (per 1000),Average Literacy,INCUMBENT_PARTY,Incumbency
35,BHIND,Madhya Pradesh,ASHOK ARGAL,M,SC,39,BJP,227365,1,523856,1364411,13,38.39429615,1703005,1595400,66776,837,75.26%,BJP,1
36,BHIND,Madhya Pradesh,DR. BHAGIRATH PRASAD,M,SC,61,INC,208479,2,523856,1364411,13,38.39429615,1703005,1595400,66776,837,75.26%,BJP,0
37,BHIND,Madhya Pradesh,D.R.RAHUL,M,SC,58,BSP,60803,3,523856,1364411,13,38.39429615,1703005,1595400,66776,837,75.26%,BJP,0
38,BHIND,Madhya Pradesh,NAND KISHOR KORI,M,SC,43,SP,14061,4,523856,1364411,13,38.39429615,1703005,1595400,66776,837,75.26%,BJP,0
39,BHIND,Madhya Pradesh,SHAILENDRA SINGH ALIAS KALLU,M,SC,25,IND,4119,5,523856,1364411,13,38.39429615,1703005,1595400,66776,837,75.26%,BJP,0
40,BHIND,Madhya Pradesh,VEERENDRA KUMAR GOYAL,M,SC,40,IND,1463,6,523856,1364411,13,38.39429615,1703005,1595400,66776,837,75.26%,BJP,0
41,BHIND,Madhya Pradesh,LALARAM,M,SC,46,IND,1390,7,523856,1364411,13,38.39429615,1703005,1595400,66776,837,75.26%,BJP,0
42,BHIND,Madhya Pradesh,SHRIRAM RAHUL,M,SC,41,BMM,1211,8,523856,1364411,13,38.39429615,1703005,1595400,66776,837,75.26%,BJP,0
43,BHIND,Madhya Pradesh,TULSIRAM DHANUK THEKEDAR,M,SC,60,IVD,1195,9,523856,1364411,13,38.39429615,1703005,1595400,66776,837,75.26%,BJP,0
44,BHIND,Madhya Pradesh,RAMSEVAK MORYA,M,SC,43,IND,1087,10,523856,1364411,13,38.39429615,1703005,1595400,66776,837,75.26%,BJP,0
45,BHIND,Madhya Pradesh,BHAGIRATH,M,SC,33,IND,1001,11,523856,1364411,13,38.39429615,1703005,1595400,66776,837,75.26%,BJP,0
46,BHIND,Madhya Pradesh,SHANKAR LAL VERMA,M,SC,70,BHBP,839,12,523856,1364411,13,38.39429615,1703005,1595400,66776,837,75.26%,BJP,0
47,BHIND,Madhya Pradesh,R.J.JATAV,M,SC,48,IND,778,13,523856,1364411,13,38.39429615,1703005,1595400,66776,837,75.26%,BJP,0
48,BHOPAL,Madhya Pradesh,KAILASH JOSHI,M,GEN,79,BJP,335678,1,658855,1461714,23,45.07413899,2371061,1755861,525434,918,80.37%,BJP,1
49,BHOPAL,Madhya Pradesh,SURENDRA SINGH THAKUR,M,GEN,55,INC,270521,2,658855,1461714,23,45.07413899,2371061,1755861,525434,918,80.37%,BJP,0
50,BHOPAL,Madhya Pradesh,ER. ASHOK NARAYAN SINGH,M,GEN,53,BSP,18649,3,658855,1461714,23,45.07413899,2371061,1755861,525434,918,80.37%,BJP,0
51,BHOPAL,Madhya Pradesh,MHOD. MUNAWAR KHAN KAUSAR,M,GEN,44,SP,8615,4,658855,1461714,23,45.07413899,2371061,1755861,525434,918,80.37%,BJP,0
52,BHOPAL,Madhya Pradesh,BRAJENDRA CHATURVEDI URF GAPPU CHATURVEDI,M,GEN,35,IND,3570,5,658855,1461714,23,45.07413899,2371061,1755861,525434,918,80.37%,BJP,0
53,BHOPAL,Madhya Pradesh,D. C. GUJARKAR,M,SC,52,IND,3070,6,658855,1461714,23,45.07413899,2371061,1755861,525434,918,80.37%,BJP,0
54,BHOPAL,Madhya Pradesh,ASHOK PAWAR,M,SC,47,PRSP,2861,7,658855,1461714,23,45.07413899,2371061,1755861,525434,918,80.37%,BJP,0
55,BHOPAL,Madhya Pradesh,DR. MAHESH YADAV 'AMAN GANDHI',M,GEN,40,IND,1852,8,658855,1461714,23,45.07413899,2371061,1755861,525434,918,80.37%,BJP,0
56,BHOPAL,Madhya Pradesh,SHIV NARAYAN SINGH BAGWARE,M,SC,60,IND,1635,9,658855,1461714,23,45.07413899,2371061,1755861,525434,918,80.37%,BJP,0
57,BHOPAL,Madhya Pradesh,MUKESH SEN,M,GEN,32,IND,1594,10,658855,1461714,23,45.07413899,2371061,1755861,525434,918,80.37%,BJP,0
58,BHOPAL,Madhya Pradesh,RAJESH KUMAR YADAV,M,GEN,42,IND,1536,11,658855,1461714,23,45.07413899,2371061,1755861,525434,918,80.37%,BJP,0
59,BHOPAL,Madhya Pradesh,DARSHAN SINGH RATHORE,M,GEN,53,IND,1278,12,658855,1461714,23,45.07413899,2371061,1755861,525434,918,80.37%,BJP,0
60,BHOPAL,Madhya Pradesh,AMAR SINGH,M,GEN,72,IND,1214,13,658855,1461714,23,45.07413899,2371061,1755861,525434,918,80.37%,BJP,0
61,BHOPAL,Madhya Pradesh,KAPIL DUBEY,M,SC,37,IND,1092,14,658855,1461714,23,45.07413899,2371061,1755861,525434,918,80.37%,BJP,0
62,BHOPAL,Madhya Pradesh,MEHDI SIR,M,GEN,30,IND,838,15,658855,1461714,23,45.07413899,2371061,1755861,525434,918,80.37%,BJP,0
63,BHOPAL,Madhya Pradesh,ANIL SINGH,M,SC,30,IND,814,16,658855,1461714,23,45.07413899,2371061,1755861,525434,918,80.37%,BJP,0
64,BHOPAL,Madhya Pradesh,SHAHNAWAZ,M,GEN,59,IND,684,17,658855,1461714,23,45.07413899,2371061,1755861,525434,918,80.37%,BJP,0
65,BHOPAL,Madhya Pradesh,RAM SAHAY YATRI (SHRIVASTAVA) URF RASHTRAVADI YATRI,M,GEN,79,IND,619,18,658855,1461714,23,45.07413899,2371061,1755861,525434,918,80.37%,BJP,0
66,BHOPAL,Madhya Pradesh,AHIRWAR LAKHANLAL PURVI,M,SC,42,RPI(A),597,19,658855,1461714,23,45.07413899,2371061,1755861,525434,918,80.37%,BJP,0
67,BHOPAL,Madhya Pradesh,RAMDAS GHOSLE,M,SC,54,RPI(D),558,20,658855,1461714,23,45.07413899,2371061,1755861,525434,918,80.37%,BJP,0
68,BHOPAL,Madhya Pradesh,RADHESHYAM KULASTE,M,ST,38,GMS,552,21,658855,1461714,23,45.07413899,2371061,1755861,525434,918,80.37%,BJP,0
69,BHOPAL,Madhya Pradesh,SANJEEV SINGHAL,M,GEN,42,SVSP,532,22,658855,1461714,23,45.07413899,2371061,1755861,525434,918,80.37%,BJP,0
70,BHOPAL,Madhya Pradesh,KARAN KUMAR KAROSIA URF KARAN JEEJA,M,SC,41,GGP,481,23,658855,1461714,23,45.07413899,2371061,1755861,525434,918,80.37%,BJP,0
71,CHHINDWARA,Madhya Pradesh,KAMAL NATH,M,GEN,62,INC,409736,1,829449,1154249,28,71.86049111,2090922,1923920,100692,964,71.16%,INC,1
72,CHHINDWARA,Madhya Pradesh,MAROT RAO KHAVASE,M,GEN,59,BJP,288516,2,829449,1154249,28,71.86049111,2090922,1923920,100692,964,71.16%,INC,0
73,CHHINDWARA,Madhya Pradesh,MANMOHAN SHAH BATTI,M,ST,46,IND,27414,3,829449,1154249,28,71.86049111,2090922,1923920,100692,964,71.16%,INC,0
74,CHHINDWARA,Madhya Pradesh,TULSIRAM SURYAWANSHI,M,GEN,62,IND,21211,4,829449,1154249,28,71.86049111,2090922,1923920,100692,964,71.16%,INC,0
75,CHHINDWARA,Madhya Pradesh,RAO SAHEB SHINDE,M,GEN,46,BSP,9880,5,829449,1154249,28,71.86049111,2090922,1923920,100692,964,71.16%,INC,0
76,CHHINDWARA,Madhya Pradesh,JAGDISH BAIS,M,GEN,35,IND,8845,6,829449,1154249,28,71.86049111,2090922,1923920,100692,964,71.16%,INC,0
77,CHHINDWARA,Madhya Pradesh,DUARAM UIKEY,M,ST,40,IND,8383,7,829449,1154249,28,71.86049111,2090922,1923920,100692,964,71.16%,INC,0
78,CHHINDWARA,Madhya Pradesh,SUBHASH SHUKLA,M,GEN,40,IND,8361,8,829449,1154249,28,71.86049111,2090922,1923920,100692,964,71.16%,INC,0
79,CHHINDWARA,Madhya Pradesh,ABDUL SHAMAD KHAN,M,GEN,45,IND,6273,9,829449,1154249,28,71.86049111,2090922,1923920,100692,964,71.16%,INC,0
80,CHHINDWARA,Madhya Pradesh,KAMALNATH (MAYAWADI-PARASIA),M,SC,31,IND,4436,10,829449,1154249,28,71.86049111,2090922,1923920,100692,964,71.16%,INC,0
